?cls	?def	?xrefs
<https://www.tib.eu/digitrubber#DIGITRUBBER_000409>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000196>	"An attenuated total reflection accessory operates by measuring the changes that occur in a totally internally reflected infrared beam when the beam comes into contact with a sample."@en	
<http://purl.obolibrary.org/obo/IAO_0000409>	"A denotator type indicates how a term should be interpreted from an ontological perspective."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000603>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000507>	"Masse pro Volumeneinheit eines Materials inklusive eventueller Hohlräume"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000216>	"In Spectroscopy, peaks are features of a spectrum. A peak comprise a restricted region of a spectrum, which is absorbed or emitted with high intensity. It is defined as a local maximum in the spectrum."@en	
<https://w3id.org/pmd/co/PMD_0000002>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000595>	"A concentration measurement protocol for reliably reproducing the ethylidene norbornene concentration measurement assay."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000180>	"Material that is required to manipulate the properties of rubber products. Constitutes an entity sub-group of the raw material entity."@en	
<https://w3id.org/pmd/co/PMD_0000907>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000008>	"\"A length unit which is equal to one thousandth of a meter or 10^[-3] m.\" [NIST:NIST]"@en	
<http://purl.obolibrary.org/obo/CHEBI_33302>	"A p-block molecular entity containing any pnictogen."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000579>	"ratio of the viscous modulus to the elastic modulus"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000638>	"Is a transformation applied to spectroscopic data to remove scatter effects by centering and scalling each individual spectrum."@en	
<http://purl.obolibrary.org/obo/BFO_0000006>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000115>	"A cost group for all cost values occuring from entity sub-groups in the investment cost group and the associated factors"@en	
<https://w3id.org/pmd/co/PMD_0000595>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000456>		
<https://w3id.org/pmd/co/PMD_0001005>		
<https://w3id.org/pmd/co/PMD_0000571>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000578>	"measure of stiffness under specified conditions of deformation"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000323>		
<http://purl.obolibrary.org/obo/CHEBI_38101>	"Any organonitrogen compound containing a cyclic component with nitrogen and at least one other element as ring member atoms."@en	
<http://purl.obolibrary.org/obo/OBI_0000648>	"A data set that is produced as the output of a class discovery data transformation and consists of a data set with assigned discovered class labels."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000482>	"Druckkessel, der zur Vulkanisation von Kautschuk in Dampf oder Gas genutzt wird"@de	
<https://w3id.org/pmd/co/PMD_0000908>		
<https://w3id.org/pmd/co/PMD_0000003>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000064>	"Online optimization is the adjustment of process parameters in the running process for process optimization."@en	
<http://purl.obolibrary.org/obo/CHEBI_5686>	"A cyclic compound having as ring members atoms of at least two different elements."	
<http://purl.obolibrary.org/obo/CHEBI_38179>		
<https://w3id.org/pmd/co/PMD_0000596>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000177>	"An elastic material obtained from the latex sap of trees. Constitutes an entity sub-group of the raw material entity."@en	
<http://purl.obolibrary.org/obo/BFO_0000029>		
<https://w3id.org/pmd/co/PMD_0001004>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000588>		
<https://w3id.org/pmd/co/PMD_0000790>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000346>		
<https://w3id.org/pmd/co/PMD_0000572>		
<http://purl.obolibrary.org/obo/CHEBI_32999>	"A lanthanoid atom that has formula Eu."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000455>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000075>	"A machine learning process that infers a function describing the structure of \"unlabeled\" data (i.e. data that has not been classified or categorized). (obi defined)"@en	
<http://purl.obolibrary.org/obo/CHEBI_25696>	"Any organic ion with a net negative charge."@en	
<https://w3id.org/pmd/co/PMD_0000909>		
<http://purl.obolibrary.org/obo/CHEBI_18291>	"A manganese group element atom that has formula Mn."	
<https://w3id.org/pmd/co/PMD_0000004>		
<http://purl.obolibrary.org/obo/PATO_0001739>	"A quality that inheres in an bearer by virtue of how that bearer interacts with radiation."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000140>	"The schedule for all anticipated maintenance activities regarding machine entites within the system under investigation. Constitutes a factor of the maintenance cost group."@en	
<http://purl.obolibrary.org/obo/OBI_0000749>	"A CART (classification and regression trees) is a data transformation method for producing a classification or regression model with a tree-based structure."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000477>	"chemische Bindung oder Atom(e), die zwei Kautschukketten oder zwei Teile derselben Kette verbinden als Ergebnis der Vulkanisation"@de	
<http://purl.obolibrary.org/obo/IAO_0000308>	"An information content entity consisting of a two dimensional arrangement of information content entities such that the arrangement itself is about something."@en	
<http://purl.obolibrary.org/obo/CHEBI_33415>		"CAS:82600-58-6 CAS:7440-44-0 Gmelin:8868"
<https://w3id.org/pmd/co/PMD_0000573>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000289>	"natural or synthetic rubber, usually in bales or packages, forming the starting material for the manufacture of rubber products"@en	
<https://w3id.org/pmd/co/PMD_0020090>		
<http://purl.obolibrary.org/obo/BFO_0000008>		
<https://w3id.org/pmd/co/PMD_0000597>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000567>		
<https://w3id.org/pmd/co/PMD_0000791>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000458>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000430>	"Produkt eines Extrusionsprozesses"@de	
<https://w3id.org/pmd/co/PMD_0001003>		
<http://purl.obolibrary.org/obo/BFO_0000202>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000569>	"Die Säurezahl ist eine chemische Größe zur Charakterisierung von sauren Bestandteilen in Fetten oder Ölen. Sie bezeichnet die Masse an Kaliumhydroxid (in mg), die notwendig ist, um die in 1 g Fett enthaltenen freien Fettsäuren zu neutralisieren."@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000543>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000431>	"Teil eines Extruders, welcher die Schablone mit Halterung enthält"@de	
<http://purl.obolibrary.org/obo/OBI_0000245>	"An entity that can bear roles, has members, and has a set of organization rules. Members of organizations are either organizations themselves or individual people. Members can bear specific organization member roles that are determined in the organization rules. The organization rules also determine how decisions are made on behalf of the organization by the organization members."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000331>	"Kombination aus Vulkanisationsmittel und, falls erforderlich, Beschleunigern, Aktivatoren, Verzögerern, etc., die verwendet wird, um die gewünschte Vulkanisationscharakteristik und Vulkanisateigenschaften herzustellen"@de	
<https://w3id.org/pmd/co/PMD_0000005>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000312>	"Trade name for a specific zinc oxide"@en	
<http://purl.obolibrary.org/obo/CHEBI_22927>	"A halogen that has formula Br."	
<http://purl.obolibrary.org/obo/PATO_0000122>	"A 1-dimensional extent quality which is equal to the distance between two points."@en	
<https://w3id.org/pmd/co/PMD_0000574>		
<https://w3id.org/pmd/co/PMD_0000598>		
<https://w3id.org/pmd/co/PMD_0020091>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000566>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000457>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000324>		
<https://w3id.org/pmd/co/PMD_0000550>		
<https://w3id.org/pmd/co/PMD_0000792>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000348>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000342>	"Zylinder, der ein rotierendes Hauptelement eines Kalanders oder eines Walzwerks bildet"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000380>	"A mechanical component designed to blend materials."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000246>	"Machine learning task of learning a function that maps an input to an output based on example input-output pairs."@en	
<https://w3id.org/pmd/co/PMD_0000927>		
<http://purl.obolibrary.org/obo/BFO_0000017>	"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances."@en	
<https://w3id.org/pmd/co/PMD_0000818>		
<https://w3id.org/pmd/co/PMD_0000903>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000191>	"A spectrum is a data distribution function of a measured quantity in a spectroscopy against some experimental parameter. [Allotrope]"@en	
<https://w3id.org/pmd/co/PMD_0020092>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000098>	"Measured variable that indicates how the temperature is distributed radially over the screw channel."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000068>	"Regression analysis consists of a set of machine learning methods that allow us to predict a continuous outcome variable (y) based on the value of one or multiple predictor variables (x). Regression is a supervised learning technique, in which Algorithems build a mathematical Modell or equation that defines y as a funktion of x."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000412>		
<http://purl.obolibrary.org/obo/CHEBI_60004>	"A mixture is a chemical substance composed of multiple molecules, at least two of which are of a different kind."@en	
<https://w3id.org/pmd/co/PMD_0000591>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000545>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000630>		
<http://purl.obolibrary.org/obo/CHEBI_32594>	"An alkaline earth metal atom that has formula Ba."	
<http://purl.obolibrary.org/obo/CHEBI_30145>	"An alkali metal atom that has formula Li."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000436>		
<https://w3id.org/pmd/co/PMD_0001009>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000521>		
<http://purl.obolibrary.org/obo/CHEBI_30514>	"An alkali metal atom that has formula Cs."	
<http://purl.obolibrary.org/obo/OBI_0200171>	"A partitioning data transformation is a data transformation that has objective partitioning."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000081>	"Rolling is the second of the three areas of the extrusion line. Where the material is homogenised."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000432>	"kontinuierliches Formen eines Materials, indem dieses durch eine Schablone gepresst wird"@de	
<http://purl.obolibrary.org/obo/PATO_0001291>	"A physical quality that inheres in an bearer by virtue of how that bearer interacts with electromagnetic radiation."@en	
<https://w3id.org/pmd/co/PMD_0000904>		
<https://w3id.org/pmd/co/PMD_0000928>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000408>	"An indication of the type of unit of measure being used to express a length or distance."@en	
<https://w3id.org/pmd/co/PMD_0000819>		
<http://purl.obolibrary.org/obo/BFO_0000009>		
<http://purl.obolibrary.org/obo/BFO_0000203>		
<https://w3id.org/pmd/co/PMD_0020093>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000032>	"Cluster analysis is a unsupervised machine learning technique, which groups the unlabelled dataset. It can be defined as a way of grouping the data points into different clusters, consisting of similar data points."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000256>	"A datum that has non-negative integer values that is about the number of discrete things. [Allotrope]"@en	
<https://w3id.org/pmd/co/PMD_0000592>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000133>	"Designated administrator over one or more groups/teams working to produce a resource, or over one or more steps of a development process"@en	
<http://purl.obolibrary.org/obo/OBI_0000953>	"A specimen that has been intentionally physically modified."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000290>	"rubber produced by non-biologically polymerizing one or more monomers"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000326>		
<https://w3id.org/pmd/co/PMD_0001008>		
<http://purl.obolibrary.org/obo/CHEBI_33394>	"An actinoid atom that has formula Fm."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000266>	"The standard deviation is a measure of the amount of variation or dispersion of a set of values."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000431>	"that part of an extruder which houses the die and die holder"@en	
<http://purl.obolibrary.org/obo/BFO_0000031>	"b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])"@en	
<https://w3id.org/pmd/co/PMD_0000905>		
<http://purl.obolibrary.org/obo/CHEBI_25699>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000264>	"A zinc group element atom that has formula Zn."@en	
<https://w3id.org/pmd/co/PMD_0000929>		
<http://purl.obolibrary.org/obo/IAO_0000178>	"A material entity in which a concretization of an information content entity inheres."@en	
<https://w3id.org/pmd/co/PMD_0020094>		
<https://w3id.org/pmd/co/PMD_0020070>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000309>	"compounding ingredient used in small proportions to increase the effectiveness of an accelerator"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000306>	"compounding ingredient which improves the processability of a rubber compound or mix"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000027>	"An active power or cause (as principle, substance, physical or biological factor, etc.) that produces a specific effect."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000414>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000481>	"Verfahren, üblicherweise auf Hitze basierend, bei dem Kautschuk durch eine Veränderung seiner chemischen Struktur (zum Beispiel Vernetzung) in einen Zustand überführt wird, in dem die elastischen Eigenschaften erzeugt, wiederhergestellt oder verbessert oder über einen größeren Tempe-raturbereich erweitert werden"@de	
<https://w3id.org/pmd/co/PMD_0000593>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000493>	"unverarbeiteter, gemischter, vulkanisierter oder teilvulkanisierter Kautschuk in Form von Altgummierzeugnissen oder Fabrikabfall"@de	
<https://w3id.org/pmd/co/PMD_0001007>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000516>	"An assay with the objective to produce information about the Mooney viscosity of the material entity that is the evaluant, by physically examining it or its proxies."@en	
<http://purl.obolibrary.org/obo/CHEBI_33323>	"An alkali metal atom that has formula Fr."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000508>	"A measure of the compactness of a substance, expressed as its mass per unit volume."@en	
<http://purl.obolibrary.org/obo/CHEBI_22977>	"A zinc group element atom that has formula Cd."	
<http://purl.obolibrary.org/obo/CHEBI_27568>	"A chalcogen that has formula Se."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000420>	"A physical quality which inheres in a bearer by virtue of the ratio of the volume of a substance contained in the bearer and the bearer's own volume."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000438>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000484>	"A thick-walled steel vessel used during synthesis methods that require both high pressures and high temperatures."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000263>	"An element with atomic symbol Zn, atomic number 30, and atomic weight 65.39."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000248>	"A type of algorithm that learns patterns from untagged data"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000304>	"Handelsname für ein spezifisches Paraffinöl"@de	
<https://w3id.org/pmd/co/PMD_0000001>		
<https://w3id.org/pmd/co/PMD_0000906>		
<http://purl.obolibrary.org/obo/CHEBI_33397>	"A d-block element atom that has formula Lr."	
<http://purl.obolibrary.org/obo/CHEBI_33348>	"A vanadium group element atom that has formula Ta."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000575>	"that component of an applied normal stress which is in phase with the normal strain, divided by the strain"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000509>	"A physical quality which inheres in a bearer by virtue of some influence is exerted by the bearer's mass per unit size."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000336>	"Liste der Mischungsbestandteile und ihrer Mengenverhältnisse, die bei der Herstellung einer Mischung verwendet werden"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000284>	"An object with finite mass and size parameters."@en	
<https://w3id.org/pmd/co/PMD_0020095>		
<http://purl.obolibrary.org/obo/CHEBI_33349>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000354>	"Is a supervised classification method and it is used to build classification rules of a number of prespecified clases."@en	
<https://w3id.org/pmd/co/PMD_0020071>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000520>	"Maß für die Viskosität eines Rohkautschuks oder einer Kautschukmischung, bestimmt mit einem Mooney-Scherscheibenviskosimeter"@de	
<https://w3id.org/pmd/co/PMD_0000570>		
<https://w3id.org/pmd/co/PMD_0000594>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000437>		
<http://purl.obolibrary.org/obo/IAO_0000030>	"A generically dependent continuant that is about some thing."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000154>	"A single system element (e.g., extruder 1, tool 1) within an entity sub-group in the system under investigation."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000475>	"number of crosslinks per unit volume or unit mass of vulcanizate"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000206>	"The concentration of a chemical compound. (edam defined)"@en	
<https://w3id.org/pmd/co/PMD_0001006>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000232>	"The determination of the spectral absorbance of a solution. This method is often used to determine the concentration of a chemical in a solution. [CHMO]"@en	
<http://purl.obolibrary.org/obo/UO_0000001>	"A unit which is a standard measure of the distance between two points."	
<http://purl.obolibrary.org/obo/CHEBI_49882>	"A manganese group element atom that has formula Re."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000328>		
<http://purl.obolibrary.org/obo/IAO_0000184>	"A scatterplot is a graph which uses Cartesian coordinates to display values for two variables for a set of data. The data is displayed as a collection of points, each having the value of one variable determining the position on the horizontal axis and the value of the other variable determining the position on the vertical axis."@en	
<https://w3id.org/pmd/co/PMD_0000797>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000580>		
<https://w3id.org/pmd/co/PMD_0000555>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000011>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000471>		
<http://purl.obolibrary.org/obo/CHEBI_24859>	"Chemical element with atomic number 53."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000362>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000175>	"Equipment that is employed for cooling and heating in the system under investigation. Constitutes an entity sub-group of the building entity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000253>		
<https://w3id.org/pmd/co/PMD_0000579>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000299>	"Der Buchstabe \"S\" wird für Channel Blacks oder für Furnace Blacks verwendet, die so modifiziert wurden, dass sie die Vulkanisationsgeschwindigkeit verringern."@de	
<https://w3id.org/pmd/co/PMD_0000991>		
<https://w3id.org/pmd/co/PMD_0000640>		
<https://w3id.org/pmd/co/PMD_0000882>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000251>	"A multidimensional histogram of the distribution of color in an image"@en	
<https://w3id.org/pmd/co/PMD_0000664>		
<https://w3id.org/pmd/co/PMD_0000773>		
<https://w3id.org/pmd/co/PMD_0000531>		
<https://w3id.org/pmd/co/PMD_0020028>		
<https://w3id.org/pmd/co/PMD_0020004>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000101>	"A class of units in the system under study (e.g, machines, spare parts)"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000144>	"The expenditure that incurs for acquiring a single unit of an entity sub-group in the system under investigation. Constitutes a factor of the maintenance cost, material cost, and storage cost group."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000387>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000327>	"A member of the class of dithiocarbamate anions resulting from the deprotonation of both of the dithiocarbamic acid moieties of ethylenebis(dithiocarbamic acid). The major species at pH 7.3."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000278>	"A single physical entity inhering in an bearer by virtue of the bearer's quantities or relative ratios of subparts. [PATO]"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000269>	"The viscosity of rubber using a standard test method and Mooney Viscometer."@en	
<http://purl.obolibrary.org/obo/CHEBI_22984>	"An alkaline earth metal atom that has formula Ca."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000585>	"device that measures the progress of vulcanization in a test sample at the vulcanizing temperature"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000173>	"Components required to maintain and repair a machine entity. Constitutes an entity sub-group of the wear parts entity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000273>	"A polymer is a mixture, which is composed of macromolecules of different kinds and which may be differentiated by composition, length, degree of branching etc.."@en	
<http://purl.obolibrary.org/obo/CHEBI_49475>	"A noble gas atom that has formula Ar."	
<http://purl.obolibrary.org/obo/OBI_0000726>	"Peak matching is a data transformation performed on a dataset of a graph of ordered data points (e.g. a spectrum) with the objective of pattern matching local maxima above a noise threshold"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000069>	"A simulation environment is a virtual environment that maps/models the real process. A simulation model thus makes it possible to train control tasks using learning algorithms offline, i.e. not on the real system but on the computer. Neural networks can be used to create such model."@en	
<https://w3id.org/pmd/co/PMD_0000556>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000168>	"A powered industrial truck used to lift and move materials over short distances. Constitutes an entity sub-group of the conveyor vehicle entity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000442>	"The extended two-dimensional outer boundary of a three-dimensional object."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000470>		
<https://w3id.org/pmd/co/PMD_0000798>		
<https://w3id.org/pmd/co/PMD_0000665>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000385>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000252>		
<https://w3id.org/pmd/co/PMD_0000992>		
<https://w3id.org/pmd/co/PMD_0000883>		
<https://w3id.org/pmd/co/PMD_0000532>		
<https://w3id.org/pmd/co/PMD_0000774>		
<http://purl.obolibrary.org/obo/CHEBI_27594>	"A carbon group element atom that has formula C."	
<https://w3id.org/pmd/co/PMD_0000641>		
<http://purl.obolibrary.org/obo/IAO_0000078>	"The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000386>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_0000001>		
<http://purl.obolibrary.org/obo/CHEBI_194539>	"A halogen atom with a symbol Ts and atomic number 117."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000223>	"Principal component analysis (PCA) is the process of computing the principal components and using them to perform a change of basis on the data."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000376>	"relative Einfachheit, mit welcher Rohkautschuk oder Kautschukmischungen in einer Maschine zur Kautschukverarbeitung gehandhabt werden kann"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000178>	"The natural extract of tropical rubber plants."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000182>	"A substance added to a synthetic resin to produce or promote plasticity and flexibility and to reduce brittleness. Constitutes an entity sub-group of the raw material entity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000172>	"A set of small wear parts required to maintain and repair a machine entity. Constitutes an entity sub-group of the wear parts entity."@en	
<http://purl.obolibrary.org/obo/CHEBI_24061>	"A halogen that has formula F."	
<http://purl.obolibrary.org/obo/CHEBI_33301>	"A pnictogen that has formula Bi."	
<https://w3id.org/pmd/co/PMD_0020029>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000590>	"A concentration measurement assay with the objective to produce information about the concentration of ethylene in the material entity that is the evaluant, by physically examining it or its proxies."@en	
<http://purl.obolibrary.org/obo/CHEBI_24532>	"A cyclic compound having as ring members atoms of carbon and at least of one other element."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000332>	"Geschwindigkeit, mit der eine Kautschukmischung nach Einsetzen der initialen Vulkanisation weitervernetzt"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000014>	"use of different algorithms to determine the \nexact allignment respectively the characteristik shared edges"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000410>	"A metric unit of length equal to one thousandth of a meter (10E-3 meter) or approximately 0.03937 inch."@en	
<http://purl.obolibrary.org/obo/CHEBI_28659>	"A pnictogen that has formula P."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000043>	"Extrusion is a process used to create objects of a fixed cross-sectional profile by pushing material through a die of the desired cross-section."@en	
<https://w3id.org/pmd/co/PMD_0000666>		
<https://w3id.org/pmd/co/PMD_0000533>		
<https://w3id.org/pmd/co/PMD_0000775>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000254>	"counting events"@en	
<https://w3id.org/pmd/co/PMD_0000799>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000582>		
<https://w3id.org/pmd/co/PMD_0000557>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000473>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000340>		
<https://w3id.org/pmd/co/PMD_0000642>		
<https://w3id.org/pmd/co/PMD_0000884>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000082>	"Twin screw extruders have two screws, which have more shear and mixing capability than the single screw in a singel screw extruder. Depending on the direction of rotation of the screws, a distinction is made between counter-rotating and co-rotating twin-screw extruders."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000004>	"A coherent set of direct positions in space. The positions are held within a Spatial Reference System (SRS)."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000474>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000365>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000389>		
<http://purl.obolibrary.org/obo/CHEBI_36962>	"An organochalcogen compound is a compound containing at least one carbon-chalcogen bond."@en	
<http://purl.obolibrary.org/obo/OBI_0000659>	"A planned process with the objective of collecting a specimen."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000295>	"fester Mischungsbestandteil in Teilchenform, welcher aus technischen oder wirtschaftlichen Gründen zu einem relativ großen Anteil zu Kautschuk oder Kautschuklatex zugegeben werden kann"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000292>	"Terpolymer of ethylene, propylene and a diene with the remaining unsaturated portion of the polymerized diene in the side chain"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000481>	"process, usually involving heat, in which rubber, through a change in its chemical structure (for example, crosslinking), is converted to a condition in which the elastic properties are conferred or re-established or improved or extended over a greater range of temperatures"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000315>	"Handelsname für eine spezifische Stearinsäure"@de	
<http://purl.obolibrary.org/obo/OBI_0000727>	"A k-nearest neighbors is a data transformation which achieves a class discovery or partitioning objective, in which an input data object with vector y is assigned to a class label based upon the k closest training data set points to y; where k is the largest value that class label is assigned."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000432>	"continuous shaping of a material by passage through a die"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000077>	"Validation data is to \"validate\" that your neural network hasn't rather memorized your training data and has thus actually learned some meaningful aspects of the data so that the model can be later used (generalized) to unseen, held-out \"test dataset\"."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000572>	"ratio of the shear stress to the shear strain, where each can be represented by a complex number"@en	
<https://w3id.org/pmd/co/PMD_0000885>		
<https://w3id.org/pmd/co/PMD_0000534>		
<https://w3id.org/pmd/co/PMD_0000776>		
<https://w3id.org/pmd/co/PMD_0000643>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000581>		
<https://w3id.org/pmd/co/PMD_0000558>		
<http://purl.obolibrary.org/obo/OBI_0000067>	"a role that inheres in a material entity that is realized in an assay in which data is generated about the bearer of the evaluant role"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000472>		
