?x	?p	?y
<https://w3id.org/pmd/co/PMD_0000816>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000591>
<http://purl.obolibrary.org/obo/OBI_0000067>	<http://purl.obolibrary.org/obo/RO_0000052>	<http://purl.obolibrary.org/obo/BFO_0000040>
<https://w3id.org/pmd/co/PMD_0010019>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0010020>
<http://purl.obolibrary.org/obo/OBI_0000070>	<http://purl.obolibrary.org/obo/BFO_0000055>	<http://purl.obolibrary.org/obo/OBI_0000067>
<https://w3id.org/pmd/co/PMD_0000836>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000597>
<https://w3id.org/pmd/co/PMD_0000507>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000506>
<https://w3id.org/pmd/co/PMD_0090000>	<http://purl.obolibrary.org/obo/RO_0000086>	<https://w3id.org/pmd/co/PMD_0090002>
<https://w3id.org/pmd/co/PMD_0050081>	<http://purl.obolibrary.org/obo/RO_0000091>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid1243
<https://w3id.org/pmd/co/PMD_0020222>	<http://purl.obolibrary.org/obo/RO_0000057>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid956
<https://w3id.org/pmd/co/PMD_0000833>	<http://purl.obolibrary.org/obo/OBI_0000299>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid408
<https://w3id.org/pmd/co/PMD_0000949>	<https://w3id.org/pmd/co/PMD_0001029>	<https://w3id.org/pmd/co/PMD_0000596>
<https://w3id.org/pmd/co/PMD_0000849>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000848>
<https://w3id.org/pmd/co/PMD_0000868>	<http://purl.obolibrary.org/obo/RO_0000086>	<https://w3id.org/pmd/co/PMD_0010026>
<https://w3id.org/pmd/co/PMD_0020153>	<http://purl.obolibrary.org/obo/OBI_0000312>	<https://w3id.org/pmd/co/PMD_0000833>
<https://w3id.org/pmd/co/PMD_0020224>	<http://www.w3.org/2002/07/owl#topObjectProperty>	<https://w3id.org/pmd/co/PMD_0020197>
<https://w3id.org/pmd/co/PMD_0020106>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0000663>
<https://w3id.org/pmd/co/PMD_0050118>	<http://purl.obolibrary.org/obo/RO_0000053>	<https://w3id.org/pmd/co/PMD_0000790>
<https://w3id.org/pmd/co/PMD_0050057>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020053>
<https://w3id.org/pmd/co/PMD_0000666>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0020102>
